Date,Opening Amount,Highest Amount,Lowest Amount,Closing Amount,Volume,Market Cap
"Nov 12, 2022",FTX files for Bankruptcy,,,,,
"Nov 11, 2022",$3.52,$3.68,$2.47,$2.59,"$617,326,125","$344,592,944"
"Nov 10, 2022",$2.29,$4.20,$2.14,$3.52,"$989,320,627","$467,843,435"
"Nov 09, 2022",$5.52,$6.25,$2.06,$2.30,"$1,320,745,564","$306,042,785"
"Nov 08, 2022",$22.14,$22.14,$3.15,$5.52,"$3,346,184,382","$734,156,443"
"Nov 07, 2022",$22.26,$23.15,$21.92,$22.14,"$721,168,869","$2,945,482,807"
"Nov 06, 2022",$24.06,$24.83,$21.73,$22.27,"$599,958,722","$2,962,384,378"
"Nov 05, 2022",$25.47,$25.81,$23.96,$24.06,"$108,438,472","$3,200,506,373"
"Nov 04, 2022",$24.36,$25.80,$24.15,$25.47,"$117,760,400","$3,388,498,100"
"Nov 03, 2022",$25.03,$25.33,$24.30,$24.36,"$96,038,029","$3,240,283,774"
"Nov 02, 2022",$25.87,$26.22,$24.94,$25.03,"$73,778,707","$3,329,849,643"
"Nov 01, 2022",$26.11,$26.40,$25.63,$25.87,"$61,710,158","$3,444,678,613"
"Oct 31, 2022",$25.64,$26.47,$25.40,$26.11,"$102,509,275","$3,476,092,574"
"Oct 30, 2022",$25.43,$25.99,$25.31,$25.65,"$52,222,119","$3,414,599,932"
"Oct 29, 2022",$24.79,$25.74,$24.72,$25.43,"$58,563,255","$3,389,161,693"
"Oct 28, 2022",$24.28,$24.99,$24.02,$24.79,"$52,996,494","$3,303,391,883"
"Oct 27, 2022",$24.65,$24.94,$24.21,$24.27,"$67,478,045","$3,234,224,015"
"Oct 26, 2022",$23.87,$24.91,$23.84,$24.65,"$77,828,549","$3,284,648,249"
"Oct 25, 2022",$22.79,$24.36,$22.70,$23.88,"$72,899,174","$3,181,771,612"
"Oct 24, 2022",$23.15,$23.21,$22.60,$22.79,"$35,298,132","$3,037,366,266"
"Oct 23, 2022",$22.58,$23.18,$22.42,$23.15,"$34,691,703","$3,084,675,569"
"Oct 22, 2022",$22.45,$22.65,$22.36,$22.58,"$26,694,195","$3,009,083,519"
"Oct 21, 2022",$22.41,$22.56,$21.99,$22.45,"$40,606,993","$2,993,956,175"
"Oct 20, 2022",$22.59,$22.78,$22.29,$22.41,"$45,835,848","$2,989,119,001"
"Oct 19, 2022",$23.59,$23.63,$22.58,$22.60,"$73,846,179","$3,027,263,468"
"Oct 18, 2022",$24.13,$24.20,$23.34,$23.59,"$57,930,720","$3,159,954,361"
"Oct 17, 2022",$23.73,$24.27,$23.31,$24.13,"$90,403,514","$3,232,319,232"
"Oct 16, 2022",$23.27,$23.90,$23.27,$23.73,"$31,592,267","$3,179,520,157"
"Oct 15, 2022",$23.46,$23.56,$23.17,$23.27,"$30,518,787","$3,117,719,337"
"Oct 14, 2022",$23.44,$24.13,$23.36,$23.46,"$52,571,806","$3,142,808,877"
"Oct 13, 2022",$23.36,$23.56,$22.17,$23.44,"$76,588,698","$3,140,199,040"
"Oct 12, 2022",$23.25,$23.44,$23.23,$23.36,"$33,931,169","$3,129,980,226"
"Oct 11, 2022",$23.57,$23.59,$23.16,$23.25,"$71,585,206","$3,114,365,760"
"Oct 10, 2022",$24.13,$24.26,$23.57,$23.57,"$57,700,617","$3,157,922,420"
"Oct 09, 2022",$24.13,$24.24,$23.97,$24.12,"$26,424,373","$3,231,788,707"
"Oct 08, 2022",$24.50,$24.58,$23.99,$24.13,"$31,052,653","$3,233,058,489"
"Oct 07, 2022",$24.50,$25.62,$24.30,$24.50,"$125,620,661","$3,282,833,130"
"Oct 06, 2022",$24.78,$25.13,$24.39,$24.49,"$52,179,925","$3,281,569,667"
"Oct 05, 2022",$25.12,$25.14,$24.45,$24.78,"$45,601,574","$3,319,508,471"
